map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,perf_row_start,perf_row_end
seed6,1,sector,True,37.8,5,5,0,0.491,3780,2778.3198992443326,0.7072377531486147,0.20657813602015113,0.4994034609571788,0.2584235062972292,31,86.19793857814025,7.879095863519103,0,397
seed6,1,adaptive,True,38.24,5,5,0,0.689,3819,2698.8063725490197,0.7136534730392158,0.20584267647058824,0.5063664362745098,0.2626252892156863,30,88.90263880513749,7.432668748770994,0,408
seed6,2,full,True,37.92,5,5,0,0.667,3785,9052.685643564357,1.6649092103960397,0.6431466212871286,1.0204439084158416,0.4184101064356436,,86.58676744246087,6.695001976827062,0,404
seed6,2,sector,True,37.78,5,5,0,0.62,3776,2823.770935960591,0.7264988694581281,0.21792141871921183,0.5072516921182265,0.25838314039408866,31,85.20347188553782,7.465863838089324,0,406
seed6,2,adaptive,True,38.03,5,5,0,0.722,3802,2763.1935483870966,0.6450791017369727,0.1944104665012407,0.4494190272952853,0.23240241439205955,31,85.14451438571629,7.967309581009066,0,403
seed6,3,full,True,38.91,5,5,0,0.738,3886,8678.104116222761,1.6561386610169493,0.6437360799031477,1.0107407046004844,0.4150396416464891,,86.77599255519935,7.025902588835342,0,413
seed6,3,sector,True,38.93,5,5,0,0.633,3893,2944.5275779376498,0.7290345059952038,0.2205590623501199,0.5071369976019184,0.25740828297362106,33,84.91489445873577,7.852415837620942,0,417
seed6,3,adaptive,True,37.77,5,5,0,0.694,3773,2704.344913151365,0.6684108759305211,0.19779098511166254,0.4693151910669975,0.24385364267990073,30,85.54801213305005,8.45524944048798,0,403
seed6,4,full,True,36.54,5,5,0,0.733,3650,9055.496124031008,1.5987455891472868,0.6064685917312662,0.9907772945736435,0.41252116537467703,,84.11132843294399,7.724916669879698,0,387
seed6,4,sector,True,37.46,5,5,0,0.61,3745,2784.3965087281795,0.7027598204488779,0.2136092019950125,0.4879037456359102,0.24795530423940149,31,85.6203317694293,8.028091557637218,0,401
seed6,4,adaptive,True,36.89,5,5,0,0.64,3683,2782.4478371501273,0.6976463893129771,0.21011743256997456,0.4862718676844784,0.2504875089058524,32,86.30457513097213,8.040863485051139,0,393
seed6,5,full,True,37.04,5,5,0,0.641,3695,9042.030456852792,1.7007667918781726,0.6682049137055838,1.0311954467005078,0.4290209340101523,,85.73583617826048,6.852471847760375,0,394
seed6,5,sector,True,37.21,5,5,0,0.645,3720,2817.4924623115576,0.7158033492462311,0.22012293467336683,0.4943737864321608,0.2506988417085427,31,86.10336426099246,7.426829268672856,0,398
seed6,5,adaptive,True,38.67,5,5,0,0.779,3865,2651.628915662651,0.6815467228915663,0.19902198313253014,0.4811116361445783,0.25134160240963854,31,87.01090175822665,7.869874599111582,0,415
seed7,1,full,True,39.18,5,5,0,0.648,3914,8366.181818181818,1.5382928181818183,0.603137980861244,0.9337651794258373,0.386063504784689,,81.19926826864476,7.3059216087366385,0,418
seed7,1,sector,True,38.13,5,5,0,0.674,3809,2476.216748768473,0.6369615270935961,0.1895692536945813,0.44616122906403943,0.22644343349753693,31,84.32979728454032,7.7669552596640425,0,406
seed7,1,adaptive,True,39.09,5,5,0,0.659,3908,2469.2915662650603,0.6401487397590362,0.19010758072289155,0.44857948674698794,0.23023565542168675,31,83.34571777822768,7.573203338918058,0,415
seed7,2,full,True,39.44,5,5,0,0.498,3943,7954.195238095238,1.4452127785714286,0.5761125047619048,0.8675618,0.34797280714285717,,86.44250562487454,7.852408553678089,0,420
seed7,2,sector,True,39.01,5,5,0,0.481,3899,2545.231707317073,0.6236232439024391,0.19288068536585365,0.42940714390243906,0.21798890975609755,31,82.3463530101469,7.59129082872789,0,410
seed7,2,adaptive,True,37.79,5,5,0,0.65,3777,2424.938271604938,0.6240597037037037,0.18209185679012344,0.4407774419753086,0.23055506172839507,30,85.97619031799326,7.78642166936866,0,405
