map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,perf_row_start,perf_row_end
seed10,3,sector,True,27.9,5,5,0,0.575,2686,5098.324675324675,1.2408355259740258,0.31395883116883117,0.9255486558441559,0.5262141623376623,31,0,154
seed10,3,adaptive,True,26.89,5,5,0,0.595,2675,5231.164473684211,1.40390125,0.3435196315789474,1.058995822368421,0.6022842697368421,30,0,152
seed10,4,full,True,28.73,5,5,0,0.558,2826,15154.015625,3.020770390625,0.936115671875,2.08221971875,1.0000461015625,,0,128
seed10,4,sector,True,27.58,5,5,0,0.541,2742,5447.7967032967035,1.1946890824175824,0.3398277912087912,0.8535570274725275,0.4626214285714286,31,0,182
seed10,4,adaptive,True,27.97,5,5,0,0.576,2710,5519.0375,1.3707414312500001,0.363614075,1.00577218125,0.56865721875,32,0,160
seed10,5,full,True,27.56,5,5,0,0.592,2712,15517.339130434782,3.339113739130435,1.0128709739130435,2.324684113043478,1.162259504347826,,0,115
seed10,5,sector,True,28.43,5,5,0,0.569,2830,5091.225,1.28628684375,0.33031535625,0.9544872125,0.53279054375,31,0,160
seed10,5,adaptive,True,27.29,5,5,0,0.563,2587,5234.827586206897,1.1826771609195403,0.3124722643678161,0.8688805172413794,0.48245378735632183,31,0,174
seed11,1,full,True,69.81,2,2,2,0.03,6956,61410.63829787234,15.668728085106384,4.708229787234043,10.95866414893617,5.525600638297872,,0,94
seed11,1,sector,True,72.76,2,2,5,0.005,7226,21984.476470588233,6.293175470588235,1.877532594117647,4.413998647058824,2.2895731588235293,33,0,170
seed11,1,adaptive,True,71.51,2,2,3,0.054,7002,21193.137651821864,6.14334008097166,2.0014006882591096,4.140242591093117,2.070343923076923,33,0,247
seed11,2,full,True,70.68,2,2,1,0.107,7057,63217.80582524272,15.466423980582524,4.91769786407767,10.546999417475728,5.197115825242719,,0,103
seed11,2,sector,False,90.0,0,2,2,0.09,8973,22853.925925925927,2.984433549382716,1.6603908549382715,1.3223391111111111,0.4815708302469136,29,0,324
seed11,2,adaptive,True,72.47,2,2,3,0.106,7217,21835.401673640168,6.233547322175732,1.9436527154811716,4.2880068619246865,2.1901127656903765,32,0,239
seed11,3,full,True,70.0,2,2,0,0.302,6983,63940.26829268293,15.411739837398374,4.983974715447154,10.425991219512195,5.103601300813009,,0,123
seed11,3,sector,True,72.64,2,2,0,0.248,7212,21114.551470588234,5.942031838235294,1.9401000367647059,4.000174338235294,1.9507032426470587,32,0,272
seed11,3,adaptive,True,73.59,2,2,0,0.306,7329,20433.453608247422,6.355835103092783,1.8876352422680414,4.466377113402062,2.3122278402061855,33,0,194
seed11,4,full,True,71.25,2,2,0,0.201,7004,61644.53333333333,16.088202555555554,5.0426546666666665,11.043725222222223,5.568147,,0,90
seed11,4,sector,True,72.43,2,2,2,0.059,7230,21266.830985915494,6.387082957746479,1.926826309859155,4.45854,2.271326525821596,33,0,213
seed11,4,adaptive,True,71.53,2,2,0,0.263,7136,20969.874074074072,7.286989259259259,1.988429451851852,5.2968254074074075,2.8183934444444447,32,0,135
seed11,5,full,True,69.7,2,2,4,0.016,6883,63127.72340425532,15.87872170212766,5.159395319148937,10.717432659574468,5.343337021276596,,0,94
seed11,5,sector,True,72.37,2,2,0,0.221,7208,22828.513157894737,6.0887962280701755,1.9917121491228071,4.095275350877192,2.060785925438596,33,0,228
seed11,5,adaptive,True,72.16,2,2,0,0.255,7158,21558.14170040486,6.356228380566801,2.015722712550607,4.338614979757085,2.181086939271255,33,0,247
